index,sample,Variable,element/block/ compound,length,hintcount,,Selements,hydroxide,used,identify,state,carbonate,oxide,,Pelements,,Delements,,first,second,solid,solution,gas,heated,flame,sulfides,manufacture
0,,,,,,  ,Li,LiOH,CO2 Scrub,,,Li2CO3,Li2O,,B,,Sc,,Ca,H2O,Ca(OH)2,,,,,,
1,It reacts with ## water ### liberating a colourless gas ## with the formation of solution ##,"B,C","cold water, slowly",17,4,,Be,n_a,n_a,n_a,n_a,BeCO3,BeO,, C,, Ti,,Al,H2O,Al(OH)3,,,,,,
2,The element ## when allowed to react with ## gas gives a white solid #,"A,D",n2,15,3,,Na,NaOH,bar,Fe2+,liquid,Na2CO3,n_a,, N,, V,,Cu,H2O,Cu(OH)3,H2SO4,,,,,
3,When ## gas is bubbled through the solution ## a white precipitate # is formed which redissolved to give a clear solution.,"C,E",CO2,22,3,,Mg,n_a,n_a,n_a,n_a,MgCO3,MgO,, O,, Cr,,Ca,H2SO4,CaSO4,,,,,,
4,When ## is heated to ### C a white solid # is formed,"E,F,",900C,13,3,,K,KOH,baby,,,K2CO3,n_a,, F,, Mn,,NH3,Mg,Mg3N2,,H2,,,,
5,When E heated with carbon at 2000 °C gives a compound G,"E,G","2000C,",12,3,,Ca,Ca(OH)2,kraft,CO2,gas,CaCO3,CaO,, Ne,, Fe,,Ca,O2,CaO,,,,,,
6,The compound G reacts with water to produce a hydrocarbon gas H of commercial importance,"G,H","WATER, HYDROCARBON",15,4,,,,,,,,,, Al,, Co,,SO2,H2O2,,H2SO4,,,,,
7,"When a flame test is carried with the white solid E, a brick red colouration is obtained.",E,FLAME ,17,2,,,,,,,,,, Si,, Ni,,NH4Cl,NaOH,,NaCl,NH3,,,,
8,## and ## are ## block elements of the Periodic Table,"X, Y",S,11,3,,,,,,,,,, P,, Cu,,SO3,H2O,,H2SO4,,,,,
9,They react with ## to form ###,,"water, hydroxides",7,2,,,,,,,,,, S,, Zn,,NaH,H2O,,NaOH,H2,,,,
10,The hydroxide of ## is ### basic than that of ##,"X, Y",More,11,3,,,,,,,,,, Cl,,,,HClO4,NaOH,,NaClO4,,,,,
11,The hydrocide of ## is used in the manufacture of ### ###,X,Baby soap,12,3,,,,,,,,,, Ar,,,,S2O3,H2,,,H2S,,,,
12,The hydroxide of ## is commonly used to identify the gas # that is one of the main gases responsible for ### ###,"Y,Z",global warming,23,4,,,,,,,,,,,,,,MgH,H2O,,Mg(OH)2,H2,,,,
13,## belongs to the ## block,X,s,6,2,,,,,,,,,,,,,,S,O2,,,SO2,,,,
14,## is a element of ## block,X,s,7,2,,,,,,,,,,,,,,N,O2,,,NO,,,,
15,it reacts with cold water slowly liberating a colourless gas B with the formation of solution C,,,,,,,,,,,,,,,,,,H2SO4,Cl2,,,HCl,,,,
16,X is a block element of 3rd line of the periodic table,,,,,,,,,,,,,,,,,,I,H2SO4,,,HI,,,,
17,"its first ionization energies are 1,2,3,4 & 5 in kjmol-1 respectively",,,,,,,,,,,,,,,,,,NO2,H2O,,HNO3,NO,,,,
18,The hydrocide of ## is used in the manufacture of ### ,X,Baby,11,2,,,,,,,,,,,,,,NaHCO3,,,,,Na2CO3,,,
19,The hydroxide of ## is commonly used to identify the gas # ,"Y,Z",,12,2,,,,,,,,,,,,,,LiNO3,,,,,Li2O,,,
20,## reacts with ## and form the ## ##,"X,Y",,9,4,,,,,,,,,,,,,,Mg(NO3),,,,,MgO,,,
21,## reacts with ## and form the solid ##,"X,Y",,9,3,,,,,,,,,,,,,,PbS2O3,,,,,PbS,,,
22,## reacts with ## and form the solution ##,"X,Y",,9,3,,,,,,,,,,,,,,Ag2O,,,,,Ag,,,
23,## reacts with ## and form the gas ##,"X,Y",,9,3,,,,,,,,,,,,,,Li,,,,,,red,,
24,## reacts with ## and Form the Solid ## and solution ##,"X,Y",,12,4,,,,,,,,,,,,,,Na,,,,,,yellow-orange,,
25,## reacts with ## and Form the solution ## and gas ##,"A,B",,12,4,,,,,,,,,,,,,,K,,,,,,pink,,
26,When heating the compound ## it makes the ##,A,,9,2,,,,,,,,,,,,,,Ca,,,,,,brick-red,,
27,When doing the flame test to the Compound ## it forms a ## color flame ,A,,15,2,,,,,,,,,,,,,,Sr,,,,,,crimson-red,,
28,When adding the sulfides to the ## ion it forms a ### color precipitate,A,,14,2,,,,,,,,,,,,,,Ba,,,,,,pale-green,,
29,"An element ##, belongs to the # block",A,S,8,2,,,,,,,,,,,,,,Cu,,,,,,green/blue,,
30,## is used in the manufacture of ### ,,,8,2,,,,,,,,,,,,,,Hg2+,,,,,,,black,
31,,,,,,,,,,,,,,,,,,,Pb2+,,,,,,,black,
32,,,,,,,,,,,,,,,,,,,Cu2+,,,,,,,black,
33,,,,,,,,,,,,,,,,,,,Bi3+,,,,,,,brown,
34,,,,,,,,,,,,,,,,,,,Cd2+,,,,,,,yellow,
35,,,,,,,,,,,,,,,,,,,As3+,,,,,,,yellow,
36,,,,,,,,,,,,,,,,,,,Sn4+,,,,,,,yellow,
37,,,,,,,,,,,,,,,,,,,Sb3+,,,,,,,orange,
38,,,,,,,,,,,,,,,,,,,Ag,,,,,,,,brass
39,,,,,,,,,,,,,,,,,,,Cu,,,,,,,,chemical cells
40,,,,,,,,,,,,,,,,,,,H2SO4,,,,,,,,H3PO4
41,,,,,,,,,,,,,,,,,,,H3PO4,,,,,,,,fertilizer
42,,,,,,,,,,,,,,,,,,,SO2,,,,,,,,H2SO4
43,,,,,,,,,,,,,,,,,,,S,,,,,,,,fiber
44,,,,,,,,,,,,,,,,,,,NH3,,,,,,,,plastic
